lat	lon	title	description	icon	iconSize	iconOffset
60.154	-2.074	foula	FOULA (00001) shetland lat: 60.154, long: -2.074, ele: 22 [active: 1985-2003]	img/daily-weather.png	24,24	0,-24
59.526	-1.63	fair-isle	FAIR ISLE (00003) shetland lat: 59.526, long: -1.63, ele: 57 [active: 1974-2017]	img/daily-weather.png	24,24	0,-24
59.879	-1.299	sumburgh	SUMBURGH (00004) shetland lat: 59.879, long: -1.299, ele: 7 [active: 1978-1996]	img/daily-weather.png	24,24	0,-24
60.104	-1.333	hamnavoe	HAMNAVOE (00005) shetland lat: 60.104, long: -1.333, ele: 21 [active: 1962-1972]	img/daily-weather.png	24,24	0,-24
60.533	-1.391	collafirth	COLLAFIRTH (00007) shetland lat: 60.533, long: -1.391, ele: 228 [active: 1963-1991]	img/daily-weather.png	24,24	0,-24
60.139	-1.185	lerwick	LERWICK (00009) shetland lat: 60.139, long: -1.185, ele: 82 [active: 1930-2017]	img/daily-weather.png	24,24	0,-24
60.447	-1.278	sella-ness	SELLA NESS (00010) shetland lat: 60.447, long: -1.278, ele: 7 [active: 1990-2003]	img/daily-weather.png	24,24	0,-24
60.748	-0.856	baltasound-no-2	BALTASOUND NO 2 (00012) shetland lat: 60.748, long: -0.856, ele: 15 [active: 1992-2017]	img/daily-weather.png	24,24	0,-24
60.759	-0.888	baltasound	BALTASOUND (00013) shetland lat: 60.759, long: -0.888, ele: 24 [active: 1914-1995]	img/daily-weather.png	24,24	0,-24
59.082	-4.405	sule-skerry	SULE SKERRY (00017) orkney lat: 59.082, long: -4.405, ele: 12 [active: 1957-1974]	img/daily-weather.png	24,24	0,-24
58.873	-3.387	rackwick	RACKWICK (00019) orkney lat: 58.873, long: -3.387, ele: 18 [active: 1987-2008]	img/daily-weather.png	24,24	0,-24
58.982	-3.223	stenness	STENNESS (00020) orkney lat: 58.982, long: -3.223, ele: 23 [active: 1947-1975]	img/daily-weather.png	24,24	0,-24
59.105	-3.088	evie	EVIE (00021) orkney lat: 59.105, long: -3.088, ele: 34 [active: 1965-1967]	img/daily-weather.png	24,24	0,-24
59.131	-3.148	costa	COSTA (00022) orkney lat: 59.131, long: -3.148, ele: 35 [active: 1961-1964]	img/daily-weather.png	24,24	0,-24
58.953	-2.901	kirkwall	KIRKWALL (00023) orkney lat: 58.953, long: -2.901, ele: 26 [active: 1957-2017]	img/daily-weather.png	24,24	0,-24
58.986	-2.948	weyland	WEYLAND (00024) orkney lat: 58.986, long: -2.948, ele: 24 [active: 1977-1979]	img/daily-weather.png	24,24	0,-24
59.361	-2.415	north-ronaldsay-gerbo	NORTH RONALDSAY, GERBO (00025) orkney lat: 59.361, long: -2.415, ele: 11 [active: 1987-1998]	img/daily-weather.png	24,24	0,-24
58.579	-3.739	dounreay	DOUNREAY (00026) caithness lat: 58.579, long: -3.739, ele: 21 [active: 1959-1983]	img/daily-weather.png	24,24	0,-24
58.18	-3.53	berriedale-langwell	BERRIEDALE, LANGWELL (00028) caithness lat: 58.18, long: -3.53, ele: 67 [active: 1981-1985]	img/daily-weather.png	24,24	0,-24
58.453	-3.559	halkirk-olgrinberg	HALKIRK , OLGRINBERG (00029) caithness lat: 58.453, long: -3.559, ele: 71 [active: 1959-1961]	img/daily-weather.png	24,24	0,-24
58.311	-3.285	lybster	LYBSTER (00031) caithness lat: 58.311, long: -3.285, ele: 85 [active: 1993-2003]	img/daily-weather.png	24,24	0,-24
58.454	-3.09	wick-airport	WICK AIRPORT (00032) caithness lat: 58.454, long: -3.09, ele: 36 [active: 1945-2017]	img/daily-weather.png	24,24	0,-24
58.542	-3.11	keiss	KEISS (00033) caithness lat: 58.542, long: -3.11, ele: 30 [active: 1972-1985]	img/daily-weather.png	24,24	0,-24
58.635	-3.064	john-o-groats	JOHN O GROATS (00034) caithness lat: 58.635, long: -3.064, ele: 30 [active: 1968-1972]	img/daily-weather.png	24,24	0,-24
58.319	-5.126	geisgeil	GEISGEIL (00035) sutherland lat: 58.319, long: -5.126, ele: 12 [active: 1978-1979]	img/daily-weather.png	24,24	0,-24
58.289	-5.072	duartmore-bridge	DUARTMORE BRIDGE (00036) sutherland lat: 58.289, long: -5.072, ele: 30 [active: 1980-2004]	img/daily-weather.png	24,24	0,-24
58.625	-5.0	cape-wrath	CAPE WRATH (00037) sutherland lat: 58.625, long: -5.0, ele: 112 [active: 1957-1997]	img/daily-weather.png	24,24	0,-24
58.311	-4.916	achfary	ACHFARY (00038) sutherland lat: 58.311, long: -4.916, ele: 46 [active: 1946-2017]	img/daily-weather.png	24,24	0,-24
