lat	lon	title	description	icon	iconSize	iconOffset
60.154	-2.074	foula	FOULA (00001) shetland lat: 60.154, long: -2.074, ele: 22 [active: 1989-1995]	img/hourly-rain.png	24,24	0,-24
59.526	-1.63	fair-isle	FAIR ISLE (00003) shetland lat: 59.526, long: -1.63, ele: 57 [active: 1974-2017]	img/hourly-rain.png	24,24	0,-24
59.879	-1.299	sumburgh	SUMBURGH (00004) shetland lat: 59.879, long: -1.299, ele: 7 [active: 1978-1996]	img/hourly-rain.png	24,24	0,-24
60.139	-1.185	lerwick	LERWICK (00009) shetland lat: 60.139, long: -1.185, ele: 82 [active: 1930-2017]	img/hourly-rain.png	24,24	0,-24
60.447	-1.278	sella-ness	SELLA NESS (00010) shetland lat: 60.447, long: -1.278, ele: 7 [active: 1993-2004]	img/hourly-rain.png	24,24	0,-24
60.748	-0.856	baltasound-no-2	BALTASOUND NO 2 (00012) shetland lat: 60.748, long: -0.856, ele: 15 [active: 1990-2017]	img/hourly-rain.png	24,24	0,-24
59.082	-4.405	sule-skerry	SULE SKERRY (00017) orkney lat: 59.082, long: -4.405, ele: 12 [active: 1961-1974]	img/hourly-rain.png	24,24	0,-24
58.953	-2.901	kirkwall	KIRKWALL (00023) orkney lat: 58.953, long: -2.901, ele: 26 [active: 1957-2017]	img/hourly-rain.png	24,24	0,-24
58.311	-3.285	lybster	LYBSTER (00031) caithness lat: 58.311, long: -3.285, ele: 85 [active: 1994-2004]	img/hourly-rain.png	24,24	0,-24
58.454	-3.09	wick-airport	WICK AIRPORT (00032) caithness lat: 58.454, long: -3.09, ele: 36 [active: 1930-2017]	img/hourly-rain.png	24,24	0,-24
58.625	-5.0	cape-wrath	CAPE WRATH (00037) sutherland lat: 58.625, long: -5.0, ele: 112 [active: 1957-1997]	img/hourly-rain.png	24,24	0,-24
58.168	-4.727	cassley	CASSLEY (00040) sutherland lat: 58.168, long: -4.727, ele: 99 [active: 1999-2017]	img/hourly-rain.png	24,24	0,-24
58.288	-4.442	altnaharra-no-2	ALTNAHARRA NO 2 (00044) sutherland lat: 58.288, long: -4.442, ele: 81 [active: 1993-2017]	img/hourly-rain.png	24,24	0,-24
58.23	-3.922	kinbrace-hatchery	KINBRACE, HATCHERY (00048) sutherland lat: 58.23, long: -3.922, ele: 103 [active: 1999-2017]	img/hourly-rain.png	24,24	0,-24
57.859	-5.633	aultbea-no-2	AULTBEA NO 2 (00052) ross-and-cromarty lat: 57.859, long: -5.633, ele: 11 [active: 1990-2017]	img/hourly-rain.png	24,24	0,-24
58.213	-6.319	stornoway-airport	STORNOWAY AIRPORT (00054) western-isles lat: 58.213, long: -6.319, ele: 15 [active: 1930-2017]	img/hourly-rain.png	24,24	0,-24
57.613	-5.306	kinlochewe	KINLOCHEWE (00066) ross-and-cromarty lat: 57.613, long: -5.306, ele: 25 [active: 2005-2017]	img/hourly-rain.png	24,24	0,-24
57.725	-4.895	loch-glascarnoch	LOCH GLASCARNOCH (00067) ross-and-cromarty lat: 57.725, long: -4.895, ele: 269 [active: 1992-2017]	img/hourly-rain.png	24,24	0,-24
57.687	-4.167	invergordon-harbour	INVERGORDON HARBOUR (00077) ross-and-cromarty lat: 57.687, long: -4.167, ele: 3 [active: 1994-2001]	img/hourly-rain.png	24,24	0,-24
57.703	-4.158	invergordon	INVERGORDON (00078) ross-and-cromarty lat: 57.703, long: -4.158, ele: 15 [active: 1980-1981]	img/hourly-rain.png	24,24	0,-24
57.819	-3.967	tain-range	TAIN RANGE (00079) ross-and-cromarty lat: 57.819, long: -3.967, ele: 4 [active: 1990-2017]	img/hourly-rain.png	24,24	0,-24
57.025	-7.449	barra-w-i	BARRA (W I) (00082) western-isles lat: 57.025, long: -7.449, ele: 3 [active: 1997-2007]	img/hourly-rain.png	24,24	0,-24
57.155	-7.316	lochboisdale	LOCHBOISDALE (00083) western-isles lat: 57.155, long: -7.316, ele: 6 [active: 1999-1999]	img/hourly-rain.png	24,24	0,-24
57.475	-7.371	benbecula-airport	BENBECULA AIRPORT (00084) western-isles lat: 57.475, long: -7.371, ele: 6 [active: 1957-1996]	img/hourly-rain.png	24,24	0,-24
57.436	-6.769	waterstein	WATERSTEIN (00087) inverness-shire lat: 57.436, long: -6.769, ele: 83 [active: 1990-2004]	img/hourly-rain.png	24,24	0,-24
56.867	-4.708	tulloch-bridge	TULLOCH BRIDGE (00105) inverness-shire lat: 56.867, long: -4.708, ele: 249 [active: 1990-2017]	img/hourly-rain.png	24,24	0,-24
57.459	-4.373	lentran	LENTRAN (00110) inverness-shire lat: 57.459, long: -4.373, ele: 146 [active: 2009-2017]	img/hourly-rain.png	24,24	0,-24
56.94	-4.238	dalwhinnie-no-2	DALWHINNIE NO 2 (00111) inverness-shire lat: 56.94, long: -4.238, ele: 351 [active: 2000-2017]	img/hourly-rain.png	24,24	0,-24
57.111	-3.891	lagganlia	LAGGANLIA (00112) inverness-shire lat: 57.111, long: -3.891, ele: 250 [active: 1982-1986]	img/hourly-rain.png	24,24	0,-24
57.206	-3.828	aviemore	AVIEMORE (00113) inverness-shire lat: 57.206, long: -3.828, ele: 228 [active: 1983-2017]	img/hourly-rain.png	24,24	0,-24
57.328	-4.486	drumnadrochit	DRUMNADROCHIT (00114) inverness-shire lat: 57.328, long: -4.486, ele: 53 [active: 2009-2017]	img/hourly-rain.png	24,24	0,-24
57.335	-3.606	grantown-on-spey	GRANTOWN-ON-SPEY (00130) moray-in-highland-region lat: 57.335, long: -3.606, ele: 220 [active: 1981-1981]	img/hourly-rain.png	24,24	0,-24
57.645	-3.563	kinloss	KINLOSS (00132) moray-in-grampian-region lat: 57.645, long: -3.563, ele: 5 [active: 1957-2017]	img/hourly-rain.png	24,24	0,-24
57.711	-3.323	lossiemouth	LOSSIEMOUTH (00137) moray-in-grampian-region lat: 57.711, long: -3.323, ele: 7 [active: 1989-2017]	img/hourly-rain.png	24,24	0,-24
57.354	-3.345	glenlivet	GLENLIVET (00140) banffshire lat: 57.354, long: -3.345, ele: 213 [active: 1964-2008]	img/hourly-rain.png	24,24	0,-24
57.553	-2.949	keith	KEITH (00141) banffshire lat: 57.553, long: -2.949, ele: 106 [active: 1980-1987]	img/hourly-rain.png	24,24	0,-24
57.165	-3.23	corgarff-castle-lodge	CORGARFF, CASTLE LODGE (00144) aberdeenshire lat: 57.165, long: -3.23, ele: 400 [active: 1999-2002]	img/hourly-rain.png	24,24	0,-24
57.006	-3.398	braemar	BRAEMAR (00147) aberdeenshire lat: 57.006, long: -3.398, ele: 339 [active: 1996-1996]	img/hourly-rain.png	24,24	0,-24
57.037	-3.22	balmoral	BALMORAL (00148) aberdeenshire lat: 57.037, long: -3.22, ele: 283 [active: 2013-2017]	img/hourly-rain.png	24,24	0,-24
57.076	-2.841	aboyne-no-2	ABOYNE NO 2 (00150) aberdeenshire lat: 57.076, long: -2.841, ele: 140 [active: 1990-2017]	img/hourly-rain.png	24,24	0,-24
57.443	-2.39	fyvie-castle	FYVIE CASTLE (00159) aberdeenshire lat: 57.443, long: -2.39, ele: 55 [active: 1999-2017]	img/hourly-rain.png	24,24	0,-24
57.187	-2.215	craibstone	CRAIBSTONE (00160) aberdeenshire lat: 57.187, long: -2.215, ele: 102 [active: 2010-2017]	img/hourly-rain.png	24,24	0,-24
57.205	-2.205	dyce	DYCE (00161) aberdeenshire lat: 57.205, long: -2.205, ele: 65 [active: 1957-2017]	img/hourly-rain.png	24,24	0,-24
57.697	-2.003	fraserburgh	FRASERBURGH (00166) aberdeenshire lat: 57.697, long: -2.003, ele: 18 [active: 1967-1988]	img/hourly-rain.png	24,24	0,-24
57.06	-2.542	inchmarlo	INCHMARLO (00173) kincardineshire lat: 57.06, long: -2.542, ele: 80 [active: 1998-1998]	img/hourly-rain.png	24,24	0,-24
56.852	-2.266	inverbervie-no-2	INVERBERVIE NO 2 (00177) kincardineshire lat: 56.852, long: -2.266, ele: 134 [active: 1992-2017]	img/hourly-rain.png	24,24	0,-24
56.457	-3.073	mylnefield	MYLNEFIELD (00181) angus lat: 56.457, long: -3.073, ele: 31 [active: 1980-2005]	img/hourly-rain.png	24,24	0,-24
56.681	-2.452	usan	USAN (00192) angus lat: 56.681, long: -2.452, ele: 47 [active: 1965-1979]	img/hourly-rain.png	24,24	0,-24
56.419	-4.661	tyndrum-no-3	TYNDRUM NO 3 (00195) perthshire-in-central-region lat: 56.419, long: -4.661, ele: 168 [active: 1999-2017]	img/hourly-rain.png	24,24	0,-24
56.693	-4.401	loch-rannoch-power-house	LOCH RANNOCH POWER HOUSE (00196) perthshire-in-tayside-region lat: 56.693, long: -4.401, ele: 206 [active: 1999-2006]	img/hourly-rain.png	24,24	0,-24
56.23	-4.263	loch-venachar	LOCH VENACHAR (00199) perthshire-in-central-region lat: 56.23, long: -4.263, ele: 84 [active: 1980-2004]	img/hourly-rain.png	24,24	0,-24
56.355	-4.397	balquhidder-no-2	BALQUHIDDER NO 2 (00201) perthshire-in-central-region lat: 56.355, long: -4.397, ele: 136 [active: 1985-1986]	img/hourly-rain.png	24,24	0,-24
56.326	-3.729	strathallan-airfield	STRATHALLAN AIRFIELD (00212) perthshire-in-tayside-region lat: 56.326, long: -3.729, ele: 35 [active: 1990-2017]	img/hourly-rain.png	24,24	0,-24
