lat	lon	title	description	icon	iconSize	iconOffset
60.11	-2.065	foula-no-2	FOULA NO 2 (00002) shetland lat: 60.11, long: -2.065, ele: 22 [active: 1997-2014]	img/mean-wind.png	24,24	0,-24
59.526	-1.63	fair-isle	FAIR ISLE (00003) shetland lat: 59.526, long: -1.63, ele: 57 [active: 1983-2018]	img/mean-wind.png	24,24	0,-24
59.879	-1.299	sumburgh	SUMBURGH (00004) shetland lat: 59.879, long: -1.299, ele: 7 [active: 1971-1997]	img/mean-wind.png	24,24	0,-24
60.104	-1.333	hamnavoe	HAMNAVOE (00005) shetland lat: 60.104, long: -1.333, ele: 21 [active: 1962-1971]	img/mean-wind.png	24,24	0,-24
60.139	-1.185	lerwick	LERWICK (00009) shetland lat: 60.139, long: -1.185, ele: 82 [active: 1957-2018]	img/mean-wind.png	24,24	0,-24
60.447	-1.278	sella-ness	SELLA NESS (00010) shetland lat: 60.447, long: -1.278, ele: 7 [active: 1979-2018]	img/mean-wind.png	24,24	0,-24
60.581	-1.266	muckle-holm	MUCKLE HOLM (00011) shetland lat: 60.581, long: -1.266, ele: 20 [active: 1997-2004]	img/mean-wind.png	24,24	0,-24
60.748	-0.856	baltasound-no-2	BALTASOUND NO 2 (00012) shetland lat: 60.748, long: -0.856, ele: 15 [active: 1992-2018]	img/mean-wind.png	24,24	0,-24
60.759	-0.888	baltasound	BALTASOUND (00013) shetland lat: 60.759, long: -0.888, ele: 24 [active: 1988-1988]	img/mean-wind.png	24,24	0,-24
60.828	-0.841	saxa-vord	SAXA VORD (00015) shetland lat: 60.828, long: -0.841, ele: 284 [active: 1971-1973]	img/mean-wind.png	24,24	0,-24
59.124	-5.827	north-rona-island	NORTH RONA ISLAND (00016) orkney lat: 59.124, long: -5.827, ele: 98 [active: 1997-2009]	img/mean-wind.png	24,24	0,-24
59.082	-4.405	sule-skerry	SULE SKERRY (00017) orkney lat: 59.082, long: -4.405, ele: 12 [active: 1997-2018]	img/mean-wind.png	24,24	0,-24
58.953	-2.901	kirkwall	KIRKWALL (00023) orkney lat: 58.953, long: -2.901, ele: 26 [active: 1957-2018]	img/mean-wind.png	24,24	0,-24
58.579	-3.739	dounreay	DOUNREAY (00026) caithness lat: 58.579, long: -3.739, ele: 21 [active: 1969-1983]	img/mean-wind.png	24,24	0,-24
58.612	-3.547	scrabster-harbour	SCRABSTER HARBOUR (00030) caithness lat: 58.612, long: -3.547, ele: 10 [active: 2001-2001]	img/mean-wind.png	24,24	0,-24
58.454	-3.09	wick-airport	WICK AIRPORT (00032) caithness lat: 58.454, long: -3.09, ele: 36 [active: 1957-2018]	img/mean-wind.png	24,24	0,-24
58.319	-5.126	geisgeil	GEISGEIL (00035) sutherland lat: 58.319, long: -5.126, ele: 12 [active: 1978-1980]	img/mean-wind.png	24,24	0,-24
58.289	-5.072	duartmore-bridge	DUARTMORE BRIDGE (00036) sutherland lat: 58.289, long: -5.072, ele: 30 [active: 1980-2000]	img/mean-wind.png	24,24	0,-24
58.625	-5.0	cape-wrath	CAPE WRATH (00037) sutherland lat: 58.625, long: -5.0, ele: 112 [active: 1997-1997]	img/mean-wind.png	24,24	0,-24
58.168	-4.727	cassley	CASSLEY (00040) sutherland lat: 58.168, long: -4.727, ele: 99 [active: 1997-1997]	img/mean-wind.png	24,24	0,-24
58.019	-4.407	lairg-no-2	LAIRG NO 2 (00043) sutherland lat: 58.019, long: -4.407, ele: 91 [active: 1993-1993]	img/mean-wind.png	24,24	0,-24
58.288	-4.442	altnaharra-no-2	ALTNAHARRA NO 2 (00044) sutherland lat: 58.288, long: -4.442, ele: 81 [active: 1993-2018]	img/mean-wind.png	24,24	0,-24
58.523	-4.273	torrisdale	TORRISDALE (00045) sutherland lat: 58.523, long: -4.273, ele: 27 [active: 1980-1991]	img/mean-wind.png	24,24	0,-24
58.23	-3.922	kinbrace-hatchery	KINBRACE, HATCHERY (00048) sutherland lat: 58.23, long: -3.922, ele: 103 [active: 1979-2018]	img/mean-wind.png	24,24	0,-24
58.561	-3.992	strathy-east	STRATHY EAST (00050) sutherland lat: 58.561, long: -3.992, ele: 68 [active: 1998-1998]	img/mean-wind.png	24,24	0,-24
57.859	-5.633	aultbea-no-2	AULTBEA NO 2 (00052) ross-and-cromarty lat: 57.859, long: -5.633, ele: 11 [active: 1991-2018]	img/mean-wind.png	24,24	0,-24
58.213	-6.319	stornoway-airport	STORNOWAY AIRPORT (00054) western-isles lat: 58.213, long: -6.319, ele: 15 [active: 1957-2018]	img/mean-wind.png	24,24	0,-24
58.516	-6.262	butt-of-lewis	BUTT OF LEWIS (00055) western-isles lat: 58.516, long: -6.262, ele: 16 [active: 1994-1998]	img/mean-wind.png	24,24	0,-24
57.579	-5.692	diabaig	DIABAIG (00058) ross-and-cromarty lat: 57.579, long: -5.692, ele: 60 [active: 1978-1991]	img/mean-wind.png	24,24	0,-24
58.068	-5.267	inverpolly	INVERPOLLY (00063) ross-and-cromarty lat: 58.068, long: -5.267, ele: 14 [active: 1992-1997]	img/mean-wind.png	24,24	0,-24
57.337	-5.653	plockton	PLOCKTON (00064) ross-and-cromarty lat: 57.337, long: -5.653, ele: 12 [active: 1999-1999]	img/mean-wind.png	24,24	0,-24
57.725	-4.895	loch-glascarnoch	LOCH GLASCARNOCH (00067) ross-and-cromarty lat: 57.725, long: -4.895, ele: 269 [active: 1993-2018]	img/mean-wind.png	24,24	0,-24
57.6	-4.447	dingwall	DINGWALL (00074) ross-and-cromarty lat: 57.6, long: -4.447, ele: 7 [active: 1998-1999]	img/mean-wind.png	24,24	0,-24
57.687	-4.167	invergordon-harbour	INVERGORDON HARBOUR (00077) ross-and-cromarty lat: 57.687, long: -4.167, ele: 3 [active: 1984-2001]	img/mean-wind.png	24,24	0,-24
57.703	-4.158	invergordon	INVERGORDON (00078) ross-and-cromarty lat: 57.703, long: -4.158, ele: 15 [active: 1979-1981]	img/mean-wind.png	24,24	0,-24
57.819	-3.967	tain-range	TAIN RANGE (00079) ross-and-cromarty lat: 57.819, long: -3.967, ele: 4 [active: 1992-2018]	img/mean-wind.png	24,24	0,-24
57.025	-7.449	barra-w-i	BARRA (W I) (00082) western-isles lat: 57.025, long: -7.449, ele: 3 [active: 1997-2007]	img/mean-wind.png	24,24	0,-24
57.155	-7.316	lochboisdale	LOCHBOISDALE (00083) western-isles lat: 57.155, long: -7.316, ele: 6 [active: 2001-2001]	img/mean-wind.png	24,24	0,-24
57.475	-7.371	benbecula-airport	BENBECULA AIRPORT (00084) western-isles lat: 57.475, long: -7.371, ele: 6 [active: 1957-1996]	img/mean-wind.png	24,24	0,-24
57.014	-6.282	rhum-kinloch	RHUM: KINLOCH (00089) inverness-shire lat: 57.014, long: -6.282, ele: 5 [active: 1964-1964]	img/mean-wind.png	24,24	0,-24
57.467	-6.305	skye-prabost	SKYE: PRABOST (00090) inverness-shire lat: 57.467, long: -6.305, ele: 67 [active: 1959-1989]	img/mean-wind.png	24,24	0,-24
56.872	-5.67	inverailort	INVERAILORT (00092) inverness-shire lat: 56.872, long: -5.67, ele: 2 [active: 1987-1998]	img/mean-wind.png	24,24	0,-24
56.72	-5.224	onich	ONICH (00096) inverness-shire lat: 56.72, long: -5.224, ele: 15 [active: 1992-1992]	img/mean-wind.png	24,24	0,-24
56.839	-5.149	corpach	CORPACH (00101) inverness-shire lat: 56.839, long: -5.149, ele: 8 [active: 1969-1980]	img/mean-wind.png	24,24	0,-24
57.427	-4.497	kiltarlity	KILTARLITY (00102) inverness-shire lat: 57.427, long: -4.497, ele: 75 [active: 1999-1999]	img/mean-wind.png	24,24	0,-24
56.822	-4.969	aonach-mor	AONACH MOR (00103) inverness-shire lat: 56.822, long: -4.969, ele: 1130 [active: 1992-2018]	img/mean-wind.png	24,24	0,-24
56.867	-4.708	tulloch-bridge	TULLOCH BRIDGE (00105) inverness-shire lat: 56.867, long: -4.708, ele: 249 [active: 1991-2018]	img/mean-wind.png	24,24	0,-24
57.138	-4.718	fort-augustus-no-2	FORT AUGUSTUS NO 2 (00106) inverness-shire lat: 57.138, long: -4.718, ele: 42 [active: 1969-1989]	img/mean-wind.png	24,24	0,-24
57.459	-4.373	lentran	LENTRAN (00110) inverness-shire lat: 57.459, long: -4.373, ele: 146 [active: 1985-1994]	img/mean-wind.png	24,24	0,-24
56.94	-4.238	dalwhinnie-no-2	DALWHINNIE NO 2 (00111) inverness-shire lat: 56.94, long: -4.238, ele: 351 [active: 1978-2001]	img/mean-wind.png	24,24	0,-24
57.206	-3.828	aviemore	AVIEMORE (00113) inverness-shire lat: 57.206, long: -3.828, ele: 228 [active: 1983-2018]	img/mean-wind.png	24,24	0,-24
57.542	-4.062	dalcross	DALCROSS (00116) inverness-shire lat: 57.542, long: -4.062, ele: 11 [active: 1969-1994]	img/mean-wind.png	24,24	0,-24
57.116	-3.643	cairngorm-summit	CAIRNGORM SUMMIT (00117) inverness-shire lat: 57.116, long: -3.643, ele: 1237 [active: 1992-2018]	img/mean-wind.png	24,24	0,-24
57.124	-3.645	cairngorm	CAIRNGORM (00120) inverness-shire lat: 57.124, long: -3.645, ele: 1090 [active: 1969-2001]	img/mean-wind.png	24,24	0,-24
57.587	-3.893	nairn	NAIRN (00126) nairnshire lat: 57.587, long: -3.893, ele: 8 [active: 1991-1991]	img/mean-wind.png	24,24	0,-24
57.615	-3.61	forres-no-2	FORRES NO 2 (00127) moray-in-grampian-region lat: 57.615, long: -3.61, ele: 5 [active: 1996-1996]	img/mean-wind.png	24,24	0,-24
57.334	-3.6	grantown-on-spey-grammar-school	GRANTOWN-ON-SPEY, GRAMMAR SCHOOL (00128) moray-in-highland-region lat: 57.334, long: -3.6, ele: 218 [active: 1996-1996]	img/mean-wind.png	24,24	0,-24
57.335	-3.606	grantown-on-spey	GRANTOWN-ON-SPEY (00130) moray-in-highland-region lat: 57.335, long: -3.606, ele: 220 [active: 1984-1984]	img/mean-wind.png	24,24	0,-24
