lat	lon	title	description	icon	iconSize	iconOffset
59.526	-1.63	fair-isle	FAIR ISLE (00003) shetland lat: 59.526, long: -1.63, ele: 57 [active: 2011-2011]	img/radiation.png	24,24	0,-24
60.139	-1.185	lerwick	LERWICK (00009) shetland lat: 60.139, long: -1.185, ele: 82 [active: 1952-2017]	img/radiation.png	24,24	0,-24
60.748	-0.856	baltasound-no-2	BALTASOUND NO 2 (00012) shetland lat: 60.748, long: -0.856, ele: 15 [active: 2010-2014]	img/radiation.png	24,24	0,-24
58.953	-2.901	kirkwall	KIRKWALL (00023) orkney lat: 58.953, long: -2.901, ele: 26 [active: 2001-2017]	img/radiation.png	24,24	0,-24
58.454	-3.09	wick-airport	WICK AIRPORT (00032) caithness lat: 58.454, long: -3.09, ele: 36 [active: 2011-2011]	img/radiation.png	24,24	0,-24
58.168	-4.727	cassley	CASSLEY (00040) sutherland lat: 58.168, long: -4.727, ele: 99 [active: 2001-2003]	img/radiation.png	24,24	0,-24
58.288	-4.442	altnaharra-no-2	ALTNAHARRA NO 2 (00044) sutherland lat: 58.288, long: -4.442, ele: 81 [active: 1993-2017]	img/radiation.png	24,24	0,-24
58.23	-3.922	kinbrace-hatchery	KINBRACE, HATCHERY (00048) sutherland lat: 58.23, long: -3.922, ele: 103 [active: 1999-2017]	img/radiation.png	24,24	0,-24
57.859	-5.633	aultbea-no-2	AULTBEA NO 2 (00052) ross-and-cromarty lat: 57.859, long: -5.633, ele: 11 [active: 2006-2011]	img/radiation.png	24,24	0,-24
58.213	-6.319	stornoway-airport	STORNOWAY AIRPORT (00054) western-isles lat: 58.213, long: -6.319, ele: 15 [active: 1982-2017]	img/radiation.png	24,24	0,-24
57.613	-5.306	kinlochewe	KINLOCHEWE (00066) ross-and-cromarty lat: 57.613, long: -5.306, ele: 25 [active: 2005-2017]	img/radiation.png	24,24	0,-24
57.725	-4.895	loch-glascarnoch	LOCH GLASCARNOCH (00067) ross-and-cromarty lat: 57.725, long: -4.895, ele: 269 [active: 1992-2017]	img/radiation.png	24,24	0,-24
57.819	-3.967	tain-range	TAIN RANGE (00079) ross-and-cromarty lat: 57.819, long: -3.967, ele: 4 [active: 1997-2017]	img/radiation.png	24,24	0,-24
56.822	-4.969	aonach-mor	AONACH MOR (00103) inverness-shire lat: 56.822, long: -4.969, ele: 1130 [active: 2011-2011]	img/radiation.png	24,24	0,-24
56.867	-4.708	tulloch-bridge	TULLOCH BRIDGE (00105) inverness-shire lat: 56.867, long: -4.708, ele: 249 [active: 1993-2017]	img/radiation.png	24,24	0,-24
57.206	-3.828	aviemore	AVIEMORE (00113) inverness-shire lat: 57.206, long: -3.828, ele: 228 [active: 1983-2017]	img/radiation.png	24,24	0,-24
57.116	-3.643	cairngorm-summit	CAIRNGORM SUMMIT (00117) inverness-shire lat: 57.116, long: -3.643, ele: 1237 [active: 2011-2011]	img/radiation.png	24,24	0,-24
57.645	-3.563	kinloss	KINLOSS (00132) moray-in-grampian-region lat: 57.645, long: -3.563, ele: 5 [active: 2003-2017]	img/radiation.png	24,24	0,-24
57.711	-3.323	lossiemouth	LOSSIEMOUTH (00137) moray-in-grampian-region lat: 57.711, long: -3.323, ele: 7 [active: 2011-2011]	img/radiation.png	24,24	0,-24
56.879	-3.421	cairnwell	CAIRNWELL (00145) aberdeenshire lat: 56.879, long: -3.421, ele: 928 [active: 2011-2011]	img/radiation.png	24,24	0,-24
57.076	-2.841	aboyne-no-2	ABOYNE NO 2 (00150) aberdeenshire lat: 57.076, long: -2.841, ele: 140 [active: 1992-2011]	img/radiation.png	24,24	0,-24
57.187	-2.215	craibstone	CRAIBSTONE (00160) aberdeenshire lat: 57.187, long: -2.215, ele: 102 [active: 2011-2011]	img/radiation.png	24,24	0,-24
57.205	-2.205	dyce	DYCE (00161) aberdeenshire lat: 57.205, long: -2.205, ele: 65 [active: 2006-2017]	img/radiation.png	24,24	0,-24
57.128	-2.14	aberdeen-mannofield-resr	ABERDEEN, MANNOFIELD RESR (00163) aberdeenshire lat: 57.128, long: -2.14, ele: 52 [active: 1967-2006]	img/radiation.png	24,24	0,-24
56.852	-2.266	inverbervie-no-2	INVERBERVIE NO 2 (00177) kincardineshire lat: 56.852, long: -2.266, ele: 134 [active: 1992-2017]	img/radiation.png	24,24	0,-24
56.457	-3.073	mylnefield	MYLNEFIELD (00181) angus lat: 56.457, long: -3.073, ele: 31 [active: 1973-2005]	img/radiation.png	24,24	0,-24
56.326	-3.729	strathallan-airfield	STRATHALLAN AIRFIELD (00212) perthshire-in-tayside-region lat: 56.326, long: -3.729, ele: 35 [active: 1994-2017]	img/radiation.png	24,24	0,-24
56.377	-2.862	leuchars	LEUCHARS (00235) fife lat: 56.377, long: -2.862, ele: 10 [active: 2003-2017]	img/radiation.png	24,24	0,-24
56.438	-2.86	shanwell	SHANWELL (00236) fife lat: 56.438, long: -2.86, ele: 4 [active: 1981-1992]	img/radiation.png	24,24	0,-24
55.966	-3.207	edinburgh-royal-botanic-garden-no-2	EDINBURGH, ROYAL BOTANIC GARDEN NO 2 (00253) midlothian-in-lothian-region lat: 55.966, long: -3.207, ele: 23 [active: 2011-2011]	img/radiation.png	24,24	0,-24
55.709	-2.385	charterhall	CHARTERHALL (00268) berwickshire lat: 55.709, long: -2.385, ele: 112 [active: 1994-2017]	img/radiation.png	24,24	0,-24
54.977	-1.598	newcastle-weather-centre	NEWCASTLE WEATHER CENTRE (00307) tyne-and-wear lat: 54.977, long: -1.598, ele: 52 [active: 2000-2001]	img/radiation.png	24,24	0,-24
55.421	-1.601	boulmer	BOULMER (00315) northumberland lat: 55.421, long: -1.601, ele: 23 [active: 2001-2017]	img/radiation.png	24,24	0,-24
54.768	-1.586	durham	DURHAM (00326) durham lat: 54.768, long: -1.586, ele: 102 [active: 1999-2017]	img/radiation.png	24,24	0,-24
54.904	-1.395	sunderland-university	SUNDERLAND UNIVERSITY (00332) tyne-and-wear lat: 54.904, long: -1.395, ele: 70 [active: 1991-2003]	img/radiation.png	24,24	0,-24
54.135	-1.415	dishforth-airfield	DISHFORTH AIRFIELD (00342) north-yorkshire lat: 54.135, long: -1.415, ele: 33 [active: 2011-2011]	img/radiation.png	24,24	0,-24
54.045	-1.251	linton-on-ouse	LINTON ON OUSE (00346) north-yorkshire lat: 54.045, long: -1.251, ele: 14 [active: 2009-2011]	img/radiation.png	24,24	0,-24
54.359	-0.672	fylingdales	FYLINGDALES (00358) north-yorkshire lat: 54.359, long: -0.672, ele: 262 [active: 2011-2011]	img/radiation.png	24,24	0,-24
53.875	-0.442	leconfield	LECONFIELD (00370) humberside lat: 53.875, long: -0.442, ele: 7 [active: 1993-2017]	img/radiation.png	24,24	0,-24
54.094	-0.176	bridlington-mrsc	BRIDLINGTON MRSC (00373) humberside lat: 54.094, long: -0.176, ele: 15 [active: 2010-2013]	img/radiation.png	24,24	0,-24
53.307	-0.548	scampton	SCAMPTON (00381) lincolnshire lat: 53.307, long: -0.548, ele: 57 [active: 2011-2011]	img/radiation.png	24,24	0,-24
53.175	-0.523	waddington	WADDINGTON (00384) lincolnshire lat: 53.175, long: -0.523, ele: 68 [active: 2002-2017]	img/radiation.png	24,24	0,-24
53.031	-0.504	cranwell	CRANWELL (00386) lincolnshire lat: 53.031, long: -0.504, ele: 63 [active: 2011-2011]	img/radiation.png	24,24	0,-24
53.094	-0.173	coningsby	CONINGSBY (00393) lincolnshire lat: 53.094, long: -0.173, ele: 6 [active: 2011-2011]	img/radiation.png	24,24	0,-24
52.873	0.139	holbeach-no-2	HOLBEACH NO 2 (00395) lincolnshire lat: 52.873, long: 0.139, ele: 3 [active: 1993-2017]	img/radiation.png	24,24	0,-24
53.55	-0.03	cleethorpes-haverstoe-park	CLEETHORPES, HAVERSTOE PARK (00399) humberside lat: 53.55, long: -0.03, ele: 7 [active: 2003-2004]	img/radiation.png	24,24	0,-24
53.475	0.153	donna-nook-no-2	DONNA NOOK NO 2 (00405) lincolnshire lat: 53.475, long: 0.153, ele: 8 [active: 2011-2011]	img/radiation.png	24,24	0,-24
52.651	0.566	marham	MARHAM (00409) norfolk lat: 52.651, long: 0.566, ele: 21 [active: 2007-2011]	img/radiation.png	24,24	0,-24
52.459	0.671	santon-downham	SANTON DOWNHAM (00413) suffolk lat: 52.459, long: 0.671, ele: 6 [active: 2011-2011]	img/radiation.png	24,24	0,-24
52.949	1.122	weybourne	WEYBOURNE (00421) norfolk lat: 52.949, long: 1.122, ele: 21 [active: 2011-2011]	img/radiation.png	24,24	0,-24
52.757	1.351	coltishall	COLTISHALL (00429) norfolk lat: 52.757, long: 1.351, ele: 17 [active: 2001-2006]	img/radiation.png	24,24	0,-24
52.686	1.687	hemsby	HEMSBY (00433) norfolk lat: 52.686, long: 1.687, ele: 13 [active: 1981-2001]	img/radiation.png	24,24	0,-24
52.261	0.566	brooms-barn	BROOMS BARN (00435) suffolk lat: 52.261, long: 0.566, ele: 75 [active: 1980-2011]	img/radiation.png	24,24	0,-24
52.124	0.957	wattisham	WATTISHAM (00440) suffolk lat: 52.124, long: 0.957, ele: 89 [active: 2001-2017]	img/radiation.png	24,24	0,-24
51.936	0.873	great-horkesley-no-2	GREAT HORKESLEY NO 2 (00447) essex lat: 51.936, long: 0.873, ele: 50 [active: 1978-2000]	img/radiation.png	24,24	0,-24
52.245	0.1	cambridge-niab	CAMBRIDGE, NIAB (00455) cambridgeshire lat: 52.245, long: 0.1, ele: 26 [active: 1957-2011]	img/radiation.png	24,24	0,-24
52.402	-0.237	monks-wood	MONKS WOOD (00456) cambridgeshire lat: 52.402, long: -0.237, ele: 41 [active: 2000-2017]	img/radiation.png	24,24	0,-24
