lat	lon	title	description	icon	iconSize	iconOffset
59.526	-1.63	fair-isle	FAIR ISLE (00003) shetland lat: 59.526, long: -1.63, ele: 57 [active: 1976-2017]	img/soil-temperature.png	24,24	0,-24
60.139	-1.185	lerwick	LERWICK (00009) shetland lat: 60.139, long: -1.185, ele: 82 [active: 1979-2017]	img/soil-temperature.png	24,24	0,-24
60.748	-0.856	baltasound-no-2	BALTASOUND NO 2 (00012) shetland lat: 60.748, long: -0.856, ele: 15 [active: 1992-2017]	img/soil-temperature.png	24,24	0,-24
60.759	-0.888	baltasound	BALTASOUND (00013) shetland lat: 60.759, long: -0.888, ele: 24 [active: 1914-1995]	img/soil-temperature.png	24,24	0,-24
58.982	-3.223	stenness	STENNESS (00020) orkney lat: 58.982, long: -3.223, ele: 23 [active: 1961-1974]	img/soil-temperature.png	24,24	0,-24
58.953	-2.901	kirkwall	KIRKWALL (00023) orkney lat: 58.953, long: -2.901, ele: 26 [active: 1980-2017]	img/soil-temperature.png	24,24	0,-24
58.986	-2.948	weyland	WEYLAND (00024) orkney lat: 58.986, long: -2.948, ele: 24 [active: 1977-1979]	img/soil-temperature.png	24,24	0,-24
59.361	-2.415	north-ronaldsay-gerbo	NORTH RONALDSAY, GERBO (00025) orkney lat: 59.361, long: -2.415, ele: 11 [active: 1997-1997]	img/soil-temperature.png	24,24	0,-24
58.311	-3.285	lybster	LYBSTER (00031) caithness lat: 58.311, long: -3.285, ele: 85 [active: 1997-2003]	img/soil-temperature.png	24,24	0,-24
58.454	-3.09	wick-airport	WICK AIRPORT (00032) caithness lat: 58.454, long: -3.09, ele: 36 [active: 1981-2017]	img/soil-temperature.png	24,24	0,-24
58.542	-3.11	keiss	KEISS (00033) caithness lat: 58.542, long: -3.11, ele: 30 [active: 1972-1985]	img/soil-temperature.png	24,24	0,-24
58.635	-3.064	john-o-groats	JOHN O GROATS (00034) caithness lat: 58.635, long: -3.064, ele: 30 [active: 1970-1972]	img/soil-temperature.png	24,24	0,-24
57.981	-4.427	achany-no-2	ACHANY NO 2 (00039) sutherland lat: 57.981, long: -4.427, ele: 107 [active: 1977-1982]	img/soil-temperature.png	24,24	0,-24
57.982	-4.422	achany	ACHANY (00042) sutherland lat: 57.982, long: -4.422, ele: 85 [active: 1959-1970]	img/soil-temperature.png	24,24	0,-24
58.019	-4.407	lairg-no-2	LAIRG NO 2 (00043) sutherland lat: 58.019, long: -4.407, ele: 91 [active: 1971-2000]	img/soil-temperature.png	24,24	0,-24
58.288	-4.442	altnaharra-no-2	ALTNAHARRA NO 2 (00044) sutherland lat: 58.288, long: -4.442, ele: 81 [active: 1993-2017]	img/soil-temperature.png	24,24	0,-24
58.523	-4.273	torrisdale	TORRISDALE (00045) sutherland lat: 58.523, long: -4.273, ele: 27 [active: 1980-1990]	img/soil-temperature.png	24,24	0,-24
58.23	-3.922	kinbrace-hatchery	KINBRACE, HATCHERY (00048) sutherland lat: 58.23, long: -3.922, ele: 103 [active: 1980-2011]	img/soil-temperature.png	24,24	0,-24
58.561	-3.992	strathy-east	STRATHY EAST (00050) sutherland lat: 58.561, long: -3.992, ele: 68 [active: 1994-2011]	img/soil-temperature.png	24,24	0,-24
57.859	-5.633	aultbea-no-2	AULTBEA NO 2 (00052) ross-and-cromarty lat: 57.859, long: -5.633, ele: 11 [active: 1991-2017]	img/soil-temperature.png	24,24	0,-24
58.213	-6.319	stornoway-airport	STORNOWAY AIRPORT (00054) western-isles lat: 58.213, long: -6.319, ele: 15 [active: 1980-2017]	img/soil-temperature.png	24,24	0,-24
57.579	-5.692	diabaig	DIABAIG (00058) ross-and-cromarty lat: 57.579, long: -5.692, ele: 60 [active: 2002-2002]	img/soil-temperature.png	24,24	0,-24
57.774	-5.597	poolewe	POOLEWE (00060) ross-and-cromarty lat: 57.774, long: -5.597, ele: 6 [active: 2005-2017]	img/soil-temperature.png	24,24	0,-24
58.068	-5.267	inverpolly	INVERPOLLY (00063) ross-and-cromarty lat: 58.068, long: -5.267, ele: 14 [active: 1963-1997]	img/soil-temperature.png	24,24	0,-24
57.337	-5.653	plockton	PLOCKTON (00064) ross-and-cromarty lat: 57.337, long: -5.653, ele: 12 [active: 1979-2017]	img/soil-temperature.png	24,24	0,-24
57.613	-5.306	kinlochewe	KINLOCHEWE (00066) ross-and-cromarty lat: 57.613, long: -5.306, ele: 25 [active: 1961-2017]	img/soil-temperature.png	24,24	0,-24
57.725	-4.895	loch-glascarnoch	LOCH GLASCARNOCH (00067) ross-and-cromarty lat: 57.725, long: -4.895, ele: 269 [active: 1992-2017]	img/soil-temperature.png	24,24	0,-24
57.6	-4.447	dingwall	DINGWALL (00074) ross-and-cromarty lat: 57.6, long: -4.447, ele: 7 [active: 1999-1999]	img/soil-temperature.png	24,24	0,-24
57.819	-3.967	tain-range	TAIN RANGE (00079) ross-and-cromarty lat: 57.819, long: -3.967, ele: 4 [active: 1992-2017]	img/soil-temperature.png	24,24	0,-24
57.025	-7.449	barra-w-i	BARRA (W I) (00082) western-isles lat: 57.025, long: -7.449, ele: 3 [active: 1999-2007]	img/soil-temperature.png	24,24	0,-24
57.475	-7.371	benbecula-airport	BENBECULA AIRPORT (00084) western-isles lat: 57.475, long: -7.371, ele: 6 [active: 1980-1993]	img/soil-temperature.png	24,24	0,-24
