period,air_temperature,dewpoint
1,10.1,4.7
2,9.95,4.75
3,9.8,4.8
4,9.75,4.65
5,9.7,4.5
6,9.8,4.45
7,9.9,4.4
8,10.2,4.45
9,10.5,4.5
10,10.5,4.95
11,10.5,5.4
12,10.3,5.6
13,10.1,5.8
14,10.35,6.0
15,10.6,6.2
16,10.3,6.55
17,10.0,6.9
18,9.75,7.05
19,9.5,7.2
20,9.85,7.1
21,10.2,7.0
22,10.5,7.4
23,10.8,7.8
24,11.05,7.75
25,11.3,7.7
26,11.35,8.1
27,11.4,8.5
28,11.55,9.1
29,11.7,9.7
30,11.9,9.9
31,12.1,10.1
32,12.05,10.25
33,12.0,10.4
34,12.15,10.15
35,12.3,9.9
36,12.55,10.0
37,12.8,10.1
38,13.05,10.3
39,13.3,10.5
40,13.3,10.95
41,13.3,11.4
42,12.35,10.35
43,11.4,9.3
44,11.05,8.5
45,10.7,7.7
46,10.0,6.95
47,9.3,6.2
48,8.8,5.1
49,8.3,4.0
50,7.8,3.3
51,7.3,2.6
52,6.65,2.2
53,6.0,1.8
54,5.95,1.8
55,5.9,1.8
56,5.55,0.85
57,5.2,-0.1
58,4.8,0.1
59,4.4,0.3
60,4.15,0.6
61,3.9,0.9
62,4.4,1.0
63,4.9,1.1
64,4.5,1.45
65,4.1,1.8
66,4.15,1.5
67,4.2,1.2
68,4.65,0.8
69,5.1,0.4
70,5.3,0.35
71,5.5,0.3
72,3.9,0.5
73,2.3,0.7
74,3.0,1.0
75,3.7,1.3
76,3.65,0.85
77,3.6,0.4
78,4.2,-0.25
79,4.8,-0.9
80,4.85,-1.2
81,4.9,-1.5
82,4.55,-0.4
83,4.2,0.7
84,4.45,0.5
85,4.7,0.3
86,4.65,1.0
87,4.6,1.7
88,4.95,1.9
89,5.3,2.1
90,5.7,1.95
91,6.1,1.8
92,6.45,1.8
93,6.8,1.8
94,6.65,2.15
95,6.5,2.5
96,6.15,3.1
97,5.8,3.7
98,5.95,3.35
99,6.1,3.0
100,6.1,2.95
101,6.1,2.9
102,6.0,3.1
103,5.9,3.3
104,6.05,3.05
105,6.2,2.8
106,5.9,2.85
107,5.6,2.9
108,5.55,2.7
109,5.5,2.5
110,5.0,2.25
111,4.5,2.0
112,4.2,1.75
113,3.9,1.5
114,3.1,0.95
115,2.3,0.4
116,1.5,0.15
117,0.7,-0.1
118,0.8,0.15
119,0.9,0.4
120,2.55,0.3
121,4.2,0.2
122,4.4,0.25
123,4.6,0.3
124,4.65,0.0
125,4.7,-0.3
126,4.4,-0.7
127,4.1,-1.1
128,3.5,-1.2
129,2.9,-1.3
130,2.05,-1.3
131,1.2,-1.3
132,1.95,-1.25
133,2.7,-1.2
134,2.5,-1.25
135,2.3,-1.3
136,2.25,-1.3
137,2.2,-1.3
138,2.2,-1.45
139,2.2,-1.6
140,2.0,-1.35
141,1.8,-1.1
142,1.05,-1.45
143,0.3,-1.8
144,0.2,-1.5
145,0.1,-1.2
146,-0.6,-1.7
147,-1.3,-2.2
148,-0.85,-1.55
149,-0.4,-0.9
150,-0.85,-1.35
151,-1.3,-1.8
152,-0.75,-1.2
153,-0.2,-0.6
154,1.45,0.0
155,3.1,0.6
156,3.35,0.0
157,3.6,-0.6
158,3.5,-0.6
159,3.4,-0.6
160,3.65,-0.55
161,3.9,-0.5
162,3.4,-0.55
163,2.9,-0.6
164,3.45,-0.65
165,4.0,-0.7
166,4.45,-0.55
167,4.9,-0.4
168,5.45,-0.3
169,6.0,-0.2
170,5.9,0.45
