period,air_temperature
1,5.6
2,5.55
3,5.5
4,5.35
5,5.2
6,5.75
7,6.3
8,6.6
9,6.9
10,7.25
11,7.6
12,7.7
13,7.8
14,8.1
15,8.4
16,8.45
17,8.5
18,8.6
19,8.7
20,9.1
21,9.5
22,9.6
23,9.7
24,9.65
25,9.6
26,9.6
27,9.6
28,9.85
29,10.1
30,10.25
31,10.4
32,10.6
33,10.8
34,11.05
35,11.3
36,11.3
37,11.3
38,11.3
39,11.3
40,11.45
41,11.6
42,11.65
43,11.7
44,11.75
45,11.8
46,11.95
47,12.1
48,12.2
49,12.3
50,12.5
51,12.7
52,12.8
53,12.9
54,12.45
55,12.0
56,11.05
57,10.1
58,9.65
59,9.2
60,8.65
61,8.1
62,7.5
63,6.9
64,6.65
65,6.4
66,6.0
67,5.6
68,6.1
69,6.6
70,6.65
71,6.7
72,7.1
73,7.5
74,7.55
75,7.6
76,7.65
77,7.7
78,7.4
79,7.1
80,6.5
81,5.9
82,5.4
83,4.9
84,4.65
85,4.4
86,4.05
87,3.7
88,3.65
89,3.6
90,3.5
91,3.4
92,3.5
93,3.6
94,3.7
95,3.8
96,3.85
97,3.9
98,3.85
99,3.8
100,3.8
101,3.8
102,4.1
103,4.4
104,4.55
105,4.7
106,3.8
107,2.9
108,2.5
109,2.1
110,2.1
111,2.1
112,2.2
113,2.3
114,2.35
115,2.4
116,2.45
117,2.5
118,2.7
119,2.9
120,2.9
121,2.9
122,3.0
123,3.1
124,3.2
125,3.3
126,3.3
127,3.3
128,3.2
129,3.1
130,2.55
131,2.0
132,1.8
133,1.6
134,1.35
135,1.1
136,1.1
137,1.1
138,1.0
139,0.9
140,1.1
141,1.3
142,1.05
143,0.8
144,0.25
145,-0.3
146,-0.5
147,-0.7
148,-0.75
149,-0.8
150,-0.85
151,-0.9
152,-0.75
153,-0.6
154,-0.75
155,-0.9
156,-0.9
157,-0.9
158,-1.15
159,-1.4
160,-1.6
161,-1.8
162,-1.85
163,-1.9
164,-1.85
165,-1.8
166,-1.55
167,-1.3
168,-1.1
169,-0.9
170,-0.65
171,-0.4
172,-0.05
173,0.3
174,-0.15
175,-0.6
176,-0.3
177,0.0
178,0.2
179,0.4
180,0.45
181,0.5
182,0.5
183,0.5
184,0.6
185,0.7
186,0.9
187,1.1
188,1.45
189,1.8
190,2.15
191,2.5
192,2.9
193,3.3
194,3.35
195,3.4
196,3.6
197,3.8
198,3.85
199,3.9
200,3.95
201,4.0
202,4.15
203,4.3
204,4.3
205,4.3
206,4.4
207,4.5
208,4.85
209,5.2
210,5.3
211,5.4
212,5.5
213,5.6
214,5.95
215,6.3
216,6.8
217,7.3
218,7.7
219,8.1
220,8.25
221,8.4
222,8.45
223,8.5
224,8.45
225,8.4
226,8.3
227,8.2
228,8.15
229,8.1
230,8.05
231,8.0
232,7.9
233,7.8
234,7.65
235,7.5
236,7.55
237,7.6
238,7.4
239,7.2
240,7.15
241,7.1
242,7.0
243,6.9
244,6.8
245,6.7
246,6.7
247,6.7
248,6.7
249,6.7
250,6.8
251,6.9
252,6.8
253,6.7
254,6.75
255,6.8
256,7.05
257,7.3
258,7.5
259,7.7
260,7.9
261,8.1
262,8.3
263,8.5
264,8.45
265,8.4
266,7.45
267,6.5
268,6.65
269,6.8
270,6.55
271,6.3
272,5.85
273,5.4
274,4.85
275,4.3
276,4.2
277,4.1
278,3.85
279,3.6
280,3.35
281,3.1
282,2.9
283,2.7
284,2.2
285,1.7
286,1.65
287,1.6
288,1.75
289,1.9
290,2.25
291,2.6
292,2.75
293,2.9
294,2.7
295,2.5
296,2.6
297,2.7
298,2.65
299,2.6
300,2.5
301,2.4
302,2.35
303,2.3
304,2.4
305,2.5
306,2.6
307,2.7
308,3.5
309,4.3
310,5.05
311,5.8
312,6.15
313,6.5
314,6.95
315,7.4
316,7.35
317,7.3
318,7.55
319,7.8
320,7.95
321,8.1
322,8.15
323,8.2
324,8.25
325,8.3
326,8.45
327,8.6
328,8.75
329,8.9
330,9.0
331,9.1
332,9.05
333,9.0
334,9.15
335,9.3
336,9.45
337,9.6
338,9.8
339,10.0
340,10.1
341,10.2
342,10.35
343,10.5
344,10.45
345,10.4
346,9.9
347,9.4
348,9.15
349,8.9
350,8.7
351,8.5
352,8.2
353,7.9
354,7.6
355,7.3
356,7.3
357,7.3
358,7.1
359,6.9
360,6.95
361,7.0
362,7.45
363,7.9
364,8.0
365,8.1
366,8.1
367,8.1
368,7.55
369,7.0
370,7.0
371,7.0
372,6.55
373,6.1
374,5.8
375,5.5
376,5.2
377,4.9
378,5.1
379,5.3
380,5.65
381,6.0
382,6.3
383,6.6
384,6.8
385,7.0
386,7.0
387,7.0
388,7.25
389,7.5
390,8.0
391,8.5
392,8.6
393,8.7
394,8.75
395,8.8
396,8.85
397,8.9
398,9.15
399,9.4
400,9.75
401,10.1
402,10.0
403,9.9
404,10.0
405,10.1
406,10.65
407,11.2
408,11.55
409,11.9
410,11.55
411,11.2
412,11.2
413,11.2
414,11.4
415,11.6
416,12.0
417,12.4
418,13.0
419,13.6
420,13.7
421,13.8
422,14.1
423,14.4
424,14.45
425,14.5
426,14.1
427,13.7
428,13.45
429,13.2
430,13.1
431,13.0
432,12.9
433,12.8
434,12.6
435,12.4
436,12.2
437,12.0
438,12.15
439,12.3
440,12.25
441,12.2
442,12.35
443,12.5
444,12.6
445,12.7
446,12.6
447,12.5
448,12.6
449,12.7
450,12.45
451,12.2
452,11.55
453,10.9
454,10.05
455,9.2
456,9.25
457,9.3
458,8.55
459,7.8
460,7.4
461,7.0
462,6.7
463,6.4
464,5.95
465,5.5
466,5.1
467,4.7
468,4.3
469,3.9
470,3.8
471,3.7
472,3.55
473,3.4
474,3.45
475,3.5
476,3.4
477,3.3
478,3.2
479,3.1
480,3.0
481,2.9
482,2.9
483,2.9
484,2.8
485,2.7
486,2.65
487,2.6
488,2.55
489,2.5
490,2.55
491,2.6
492,2.7
493,2.8
494,3.0
495,3.2
496,3.3
497,3.4
498,3.35
499,3.3
500,3.9
501,4.5
502,5.05
503,5.6
504,5.95
505,6.3
506,6.6
507,6.9
508,6.85
509,6.8
510,6.8
511,6.8
512,6.75
513,6.7
514,7.0
515,7.3
516,7.3
517,7.3
518,7.15
519,7.0
520,6.95
521,6.9
522,6.9
523,6.9
524,6.85
525,6.8
526,6.7
527,6.6
528,6.35
529,6.1
530,6.1
531,6.1
532,6.2
533,6.3
534,6.5
535,6.7
536,6.75
537,6.8
538,7.0
539,7.2
540,7.25
541,7.3
542,7.45
543,7.6
544,7.85
545,8.1
546,8.25
547,8.4
548,8.45
549,8.5
550,8.3
551,8.1
552,8.4
553,8.7
554,9.15
555,9.6
556,9.8
557,10.0
558,10.15
559,10.3
560,10.1
561,9.9
562,8.8
563,7.7
564,7.35
565,7.0
566,6.9
567,6.8
568,6.75
569,6.7
570,7.05
571,7.4
572,8.45
573,9.5
574,9.8
575,10.1
576,10.25
577,10.4
578,10.45
579,10.5
580,9.25
581,8.0
582,7.85
583,7.7
584,7.7
585,7.7
586,7.7
