period,air_temperature
1,7.0
2,7.2
3,7.4
4,7.55
5,7.7
6,7.75
7,7.8
8,7.95
9,8.1
10,8.3
11,8.5
12,8.6
13,8.7
14,8.9
15,9.1
16,9.35
17,9.6
18,9.75
19,9.9
20,10.0
21,10.1
22,10.2
23,10.3
24,10.5
25,10.7
26,10.8
27,10.9
28,11.1
29,11.3
30,11.2
31,11.1
32,11.15
33,11.2
34,11.2
35,11.2
36,11.1
37,11.0
38,11.15
39,11.3
40,11.5
41,11.7
42,11.8
43,11.9
44,12.05
45,12.2
46,12.25
47,12.3
48,12.5
49,12.7
50,12.6
51,12.5
52,11.85
53,11.2
54,10.6
55,10.0
56,9.45
57,8.9
58,8.45
59,8.0
60,7.55
61,7.1
62,6.7
63,6.3
64,5.9
65,5.5
66,5.25
67,5.0
68,5.6
69,6.2
70,6.4
71,6.6
72,7.0
73,7.4
74,7.55
75,7.7
76,7.7
77,7.7
78,7.45
79,7.2
80,6.55
81,5.9
82,5.4
83,4.9
84,4.4
85,3.9
86,3.7
87,3.5
88,3.5
89,3.5
90,3.6
91,3.7
92,3.8
93,3.9
94,3.85
95,3.8
96,4.15
97,4.5
98,4.3
99,4.1
100,4.35
101,4.6
102,4.65
103,4.7
104,4.1
105,3.5
106,3.3
107,3.1
108,2.95
109,2.8
110,2.85
111,2.9
112,2.85
113,2.8
114,2.7
115,2.6
116,2.65
117,2.7
118,2.85
119,3.0
120,3.1
121,3.2
122,3.15
123,3.1
124,3.25
125,3.4
126,3.35
127,3.3
128,3.0
129,2.7
130,2.65
131,2.6
132,2.25
133,1.9
134,2.6
135,3.3
136,3.4
137,3.5
138,3.65
139,3.8
140,3.2
141,2.6
142,1.9
143,1.2
144,1.2
145,1.2
146,0.6
147,0.0
148,-0.3
149,-0.6
150,-0.8
151,-1.0
152,-1.4
153,-1.8
154,-1.85
155,-1.9
156,-1.65
157,-1.4
158,-1.85
159,-2.3
160,-2.4
161,-2.5
162,-2.2
163,-1.9
164,-1.7
165,-1.5
166,-0.05
167,1.4
168,0.65
169,-0.1
170,0.0
171,0.1
172,0.2
173,0.3
174,0.55
175,0.8
176,1.1
177,1.4
178,1.5
179,1.6
180,1.8
181,2.0
182,2.15
183,2.3
184,2.35
185,2.4
186,2.5
187,2.6
188,2.8
189,3.0
190,3.05
191,3.1
192,3.5
193,3.9
194,3.9
195,3.9
196,4.05
197,4.2
198,4.5
199,4.8
200,4.9
201,5.0
202,4.9
203,4.8
204,4.85
205,4.9
206,4.5
207,4.1
208,4.4
209,4.7
210,4.85
211,5.0
212,5.2
213,5.4
214,6.35
215,7.3
216,7.45
217,7.6
218,7.8
219,8.0
220,8.0
221,8.0
222,8.0
223,8.0
224,7.9
225,7.8
226,7.8
227,7.8
228,7.85
229,7.9
230,7.8
231,7.7
232,7.7
233,7.7
234,7.65
235,7.6
236,7.5
237,7.4
238,7.35
239,7.3
240,7.25
241,7.2
242,7.3
243,7.4
244,7.3
245,7.2
246,7.25
247,7.3
248,7.35
249,7.4
250,7.45
251,7.5
252,7.55
253,7.6
254,7.75
255,7.9
256,8.1
257,8.3
258,8.1
259,7.9
260,8.25
261,8.6
262,7.75
263,6.9
264,6.8
265,6.7
266,6.7
267,6.7
268,6.5
269,6.3
270,6.7
271,7.1
272,6.35
273,5.6
274,5.0
275,4.4
276,4.0
277,3.6
278,3.35
279,3.1
280,3.25
281,3.4
282,3.3
283,3.2
284,3.1
285,3.0
286,3.0
287,3.0
288,2.25
289,1.5
290,1.8
291,2.1
292,2.35
293,2.6
294,2.95
295,3.3
296,3.1
297,2.9
298,3.25
299,3.6
300,3.75
301,3.9
302,4.05
303,4.2
304,4.25
305,4.3
306,4.8
307,5.3
308,5.45
309,5.6
310,5.7
311,5.8
312,6.1
313,6.4
314,6.6
315,6.8
316,6.95
317,7.1
318,7.25
319,7.4
320,7.4
321,7.4
322,7.5
323,7.6
324,7.75
325,7.9
326,7.9
327,7.9
328,7.95
329,8.0
330,8.1
331,8.2
332,8.35
333,8.5
334,8.75
335,9.0
336,9.55
337,10.1
338,10.25
339,10.4
340,10.15
341,9.9
342,10.1
343,10.3
344,9.75
345,9.2
346,8.9
347,8.6
348,8.45
349,8.3
350,8.2
351,8.1
352,7.95
353,7.8
354,7.55
355,7.3
356,6.85
357,6.4
358,6.1
359,5.8
360,6.6
361,7.4
362,7.9
363,8.4
364,8.3
365,8.2
366,8.15
367,8.1
368,7.7
369,7.3
370,6.8
371,6.3
372,6.0
373,5.7
374,5.35
375,5.0
376,5.3
377,5.6
378,5.55
379,5.5
380,5.85
381,6.2
382,6.6
383,7.0
384,6.95
385,6.9
386,6.85
387,6.8
388,7.35
389,7.9
390,7.95
391,8.0
392,8.25
393,8.5
394,8.7
395,8.9
396,9.4
397,9.9
398,9.65
399,9.4
400,9.25
401,9.1
402,9.2
403,9.3
404,9.55
405,9.8
406,10.1
407,10.4
408,10.8
409,11.2
410,11.2
411,11.2
412,11.15
413,11.1
414,11.9
415,12.7
416,13.1
417,13.5
418,13.8
419,14.1
420,14.3
421,14.5
422,14.4
423,14.3
424,14.25
425,14.2
426,13.85
427,13.5
428,13.4
429,13.3
430,13.05
431,12.8
432,12.7
433,12.6
434,12.5
435,12.4
436,12.3
437,12.2
438,12.35
439,12.5
440,12.7
441,12.9
442,12.95
443,13.0
444,12.95
445,12.9
446,12.7
447,12.5
448,12.2
449,11.9
450,11.25
451,10.6
452,9.75
453,8.9
454,8.55
455,8.2
456,7.8
457,7.4
458,7.1
459,6.8
460,7.0
461,7.2
462,6.7
463,6.2
464,5.65
465,5.1
466,4.65
467,4.2
468,4.1
469,4.0
470,3.85
471,3.7
472,3.6
473,3.5
474,3.3
475,3.1
476,3.15
477,3.2
478,3.25
479,3.3
480,2.8
481,2.3
482,2.65
483,3.0
484,3.0
485,3.0
486,2.85
487,2.7
488,3.05
489,3.4
490,3.3
491,3.2
492,3.4
493,3.6
494,3.65
495,3.7
496,3.7
497,3.7
498,3.9
499,4.1
500,4.55
501,5.0
502,5.8
503,6.6
504,6.9
505,7.2
506,7.15
507,7.1
508,7.1
509,7.1
510,7.1
511,7.1
512,7.2
513,7.3
514,7.3
515,7.3
516,7.05
517,6.8
518,6.65
519,6.5
520,6.65
521,6.8
522,6.85
523,6.9
524,6.9
525,6.9
526,7.15
527,7.4
528,7.3
529,7.2
530,7.4
531,7.6
532,7.45
533,7.3
534,7.35
535,7.4
536,7.75
537,8.1
538,8.2
539,8.3
540,8.6
541,8.9
542,9.05
543,9.2
544,9.25
545,9.3
546,9.4
547,9.5
548,9.6
