src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
1,FOULA,foula,shetland,60.154,-2.074,22,1985,2003
3,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1974,2019
4,SUMBURGH,sumburgh,shetland,59.879,-1.299,7,1978,1996
5,HAMNAVOE,hamnavoe,shetland,60.104,-1.333,21,1962,1973
6,SCATSTA,scatsta,shetland,60.439,-1.308,15,1979,1980
9,LERWICK,lerwick,shetland,60.139,-1.185,82,1930,2019
10,SELLA NESS,sella-ness,shetland,60.447,-1.278,7,1990,2004
12,BALTASOUND NO 2,baltasound-no-2,shetland,60.748,-0.856,15,1992,2019
13,BALTASOUND,baltasound,shetland,60.759,-0.888,24,1914,1995
17,SULE SKERRY,sule-skerry,orkney,59.082,-4.405,12,1957,1974
19,RACKWICK,rackwick,orkney,58.873,-3.387,18,1987,2008
20,STENNESS,stenness,orkney,58.982,-3.223,23,1961,1975
21,EVIE,evie,orkney,59.105,-3.088,34,1965,1967
22,COSTA,costa,orkney,59.131,-3.148,35,1961,1964
23,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1957,2019
24,WEYLAND,weyland,orkney,58.986,-2.948,24,1977,1980
25,"NORTH RONALDSAY, GERBO",north-ronaldsay-gerbo,orkney,59.361,-2.415,11,1994,1997
26,DOUNREAY,dounreay,caithness,58.579,-3.739,21,1959,1983
28,"BERRIEDALE, LANGWELL",berriedale-langwell,caithness,58.18,-3.53,67,1981,1985
29,"HALKIRK , OLGRINBERG",halkirk-olgrinberg,caithness,58.453,-3.559,71,1959,1961
31,LYBSTER,lybster,caithness,58.311,-3.285,85,1994,2003
32,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1930,2019
33,KEISS,keiss,caithness,58.542,-3.11,30,1972,1986
34,JOHN O GROATS,john-o-groats,caithness,58.635,-3.064,30,1968,1972
35,GEISGEIL,geisgeil,sutherland,58.319,-5.126,12,1978,1980
36,DUARTMORE BRIDGE,duartmore-bridge,sutherland,58.289,-5.072,30,1980,2004
37,CAPE WRATH,cape-wrath,sutherland,58.625,-5,112,1957,1997
38,ACHFARY,achfary,sutherland,58.311,-4.916,46,2006,2019
39,ACHANY NO 2,achany-no-2,sutherland,57.981,-4.427,107,1977,1983
40,CASSLEY,cassley,sutherland,58.168,-4.727,99,1974,2019
8231,HUNTSHAM,huntsham,devon,50.953,-3.438,237,2006,2019
42,ACHANY,achany,sutherland,57.982,-4.422,85,1959,1971
43,LAIRG NO 2,lairg-no-2,sutherland,58.019,-4.407,91,1971,2000
44,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,2019
45,TORRISDALE,torrisdale,sutherland,58.523,-4.273,27,1977,1991
46,STRATHY 1,strathy-1,sutherland,58.52,-4.01,38,1959,1976
48,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1979,2019
49,ACHENTOUL NO 2,achentoul-no-2,sutherland,58.293,-3.924,137,1967,1971
50,STRATHY EAST,strathy-east,sutherland,58.561,-3.992,68,1993,2019
51,KNEEP,kneep,western-isles,58.222,-6.948,5,1983,1988
52,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1990,2019
54,STORNOWAY AIRPORT,stornoway-airport,western-isles,58.213,-6.319,15,1873,2019
55,BUTT OF LEWIS,butt-of-lewis,western-isles,58.516,-6.262,16,1984,1995
56,BALMACARA HOUSE,balmacara-house,ross-and-cromarty,57.286,-5.652,4,1963,1978
58,DIABAIG,diabaig,ross-and-cromarty,57.579,-5.692,60,1977,2010
59,GLEN TORRIDON,glen-torridon,ross-and-cromarty,57.551,-5.46,55,1968,1971
60,POOLEWE,poolewe,ross-and-cromarty,57.774,-5.597,6,1963,2019
61,RUDH RE,rudh-re,ross-and-cromarty,57.858,-5.813,16,1965,1977
62,"ACHNASHELLACH, LAIR",achnashellach-lair,ross-and-cromarty,57.484,-5.32,40,1982,1984
63,INVERPOLLY,inverpolly,ross-and-cromarty,58.068,-5.267,14,1963,1998
64,PLOCKTON,plockton,ross-and-cromarty,57.337,-5.653,12,1979,2019
65,ACHNASHELLACH,achnashellach,ross-and-cromarty,57.49,-5.275,67,1926,1982
66,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,1953,2019
67,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,57.725,-4.895,269,1992,2019
68,KNOCKANROCK,knockanrock,ross-and-cromarty,58.031,-5.072,244,1968,1998
69,CLUANIE INN,cluanie-inn,ross-and-cromarty,57.156,-5.181,223,1994,1996
70,STRATHCONON,strathconon,ross-and-cromarty,57.555,-4.794,107,1968,1981
71,CRAIGDARROCH,craigdarroch,ross-and-cromarty,57.578,-4.607,38,1973,1979
72,CONTIN,contin,ross-and-cromarty,57.575,-4.587,29,1972,1975
74,DINGWALL,dingwall,ross-and-cromarty,57.6,-4.447,7,1983,2006
75,CRANNICH,crannich,ross-and-cromarty,57.752,-4.272,197,1985,1989
